ts,best_bid,best_bid_qty,best_ask,best_ask_qty,mid,future_mid_horizon_5
61,10005,116,10007,65,10006.0,10009.0
62,10007,80,10009,26,10008.0,10012.0
63,10007,66,10011,48,10009.0,10010.0
64,10006,82,10008,132,10007.0,10012.0
65,10007,115,10009,99,10008.0,10011.0
66,10008,73,10010,66,10009.0,10015.0
67,10011,43,10013,35,10012.0,10019.0
68,10009,187,10011,19,10010.0,10020.0
69,10010,73,10014,66,10012.0,10022.0
70,10010,146,10012,37,10011.0,10026.0
71,10014,143,10016,21,10015.0,10028.0
72,10018,45,10020,51,10019.0,10025.0
73,10018,158,10022,38,10020.0,10023.0
74,10020,203,10024,8,10022.0,10021.0
75,10024,105,10028,30,10026.0,10019.0
76,10027,160,10029,53,10028.0,10019.0
77,10023,114,10027,88,10025.0,10019.0
78,10021,39,10025,71,10023.0,10020.0
79,10020,53,10022,101,10021.0,10019.0
80,10018,52,10020,125,10019.0,10017.0
81,10017,57,10021,86,10019.0,10020.0
82,10017,35,10021,44,10019.0,10020.0
83,10019,57,10021,118,10020.0,10022.0
84,10018,42,10020,75,10019.0,10020.0
85,10016,93,10018,46,10017.0,10020.0
86,10019,95,10021,38,10020.0,10018.0
87,10019,88,10021,41,10020.0,10017.0
88,10021,89,10023,36,10022.0,10018.0
89,10019,59,10021,28,10020.0,10016.0
90,10019,54,10021,88,10020.0,10017.0
91,10016,22,10020,67,10018.0,10016.0
92,10015,46,10019,159,10017.0,10017.0
93,10015,18,10021,90,10018.0,10020.0
94,10015,123,10017,79,10016.0,10023.0
95,10016,97,10018,10,10017.0,10027.0
96,10015,80,10017,75,10016.0,10029.0
97,10015,187,10019,9,10017.0,10029.0
98,10019,136,10021,8,10020.0,10030.0
99,10021,80,10025,20,10023.0,10028.0
100,10026,114,10028,46,10027.0,10025.0
101,10027,127,10031,84,10029.0,10026.0
102,10028,106,10030,54,10029.0,10027.0
103,10029,40,10031,79,10030.0,10026.0
104,10026,11,10030,90,10028.0,10024.0
105,10023,45,10027,89,10025.0,10023.0
106,10025,137,10027,24,10026.0,10022.0
107,10026,90,10028,12,10027.0,10021.0
108,10025,110,10027,85,10026.0,10021.0
109,10022,89,10026,118,10024.0,10018.0
110,10022,27,10024,63,10023.0,10018.0
111,10021,70,10023,103,10022.0,10014.0
112,10020,47,10022,112,10021.0,10008.0
113,10018,31,10024,61,10021.0,10005.0
114,10017,23,10019,164,10018.0,10003.0
115,10017,12,10019,102,10018.0,9998.0
116,10013,15,10015,85,10014.0,9997.0
117,10005,8,10011,125,10008.0,9999.0
118,10002,8,10008,105,10005.0,9995.0
119,10002,16,10004,124,10003.0,9993.0
120,9997,42,9999,113,9998.0,9989.0
121,9994,99,10000,26,9997.0,9984.0
122,9998,18,10000,72,9999.0,9982.0
123,9994,30,9996,63,9995.0,9981.0
124,9991,8,9995,119,9993.0,9981.0
125,9988,8,9990,93,9989.0,9982.0
126,9983,30,9985,65,9984.0,9984.0
127,9981,46,9983,131,9982.0,9983.0
128,9980,8,9982,94,9981.0,9981.0
129,9980,59,9982,86,9981.0,9979.0
130,9980,105,9984,67,9982.0,9979.0
131,9983,12,9985,66,9984.0,9980.0
132,9982,90,9984,84,9983.0,9980.0
133,9980,53,9982,121,9981.0,9981.0
134,9977,43,9981,58,9979.0,9984.0
135,9978,101,9980,99,9979.0,9984.0
136,9979,77,9981,35,9980.0,9982.0
137,9979,23,9981,61,9980.0,9978.0
138,9979,77,9983,54,9981.0,9980.0
139,9983,107,9985,48,9984.0,9982.0
140,9983,65,9985,143,9984.0,9981.0
141,9981,42,9983,161,9982.0,9976.0
142,9977,92,9979,85,9978.0,9975.0
143,9978,140,9982,79,9980.0,9972.0
144,9980,15,9984,55,9982.0,9971.0
145,9980,27,9982,91,9981.0,9968.0
146,9975,21,9977,134,9976.0,9966.0
147,9974,8,9976,118,9975.0,9966.0
148,9971,34,9973,161,9972.0,9967.0
149,9969,8,9973,80,9971.0,9964.0
150,9966,8,9970,105,9968.0,9962.0
151,9965,8,9967,102,9966.0,9960.0
152,9965,19,9967,80,9966.0,9959.0
153,9966,16,9968,64,9967.0,9955.0
154,9963,8,9965,163,9964.0,9951.0
155,9961,18,9963,82,9962.0,9949.0
156,9959,15,9961,153,9960.0,9948.0
157,9958,13,9960,111,9959.0,9949.0
158,9954,9,9956,156,9955.0,9950.0
159,9950,8,9952,81,9951.0,9949.0
160,9948,35,9950,42,9949.0,9947.0
161,9947,76,9949,111,9948.0,9950.0
162,9947,92,9951,109,9949.0,9955.0
163,9949,11,9951,131,9950.0,9957.0
164,9948,96,9950,46,9949.0,9961.0
165,9946,71,9948,70,9947.0,9966.0
166,9949,107,9951,21,9950.0,9969.0
167,9954,135,9956,58,9955.0,9974.0
168,9956,131,9958,8,9957.0,9976.0
169,9960,73,9962,19,9961.0,9975.0
170,9965,88,9967,8,9966.0,9973.0
171,9968,106,9970,72,9969.0,9974.0
172,9973,8,9975,173,9974.0,9975.0
173,9974,38,9978,112,9976.0,9979.0
174,9974,11,9976,156,9975.0,9982.0
175,9971,100,9975,103,9973.0,9984.0
176,9973,40,9975,73,9974.0,9987.0
177,9974,126,9976,8,9975.0,9988.0
178,9977,111,9981,58,9979.0,9986.0
179,9980,115,9984,28,9982.0,9986.0
180,9983,107,9985,20,9984.0,9983.0
181,9985,52,9989,130,9987.0,9980.0
182,9987,11,9989,79,9988.0,9977.0
183,9985,73,9987,130,9986.0,9976.0
184,9985,14,9987,147,9986.0,9977.0
185,9982,8,9984,134,9983.0,9980.0
186,9978,25,9982,114,9980.0,9981.0
187,9976,42,9978,130,9977.0,9983.0
188,9975,46,9977,68,9976.0,9988.0
189,9976,74,9978,79,9977.0,9988.0
190,9979,64,9981,25,9980.0,9990.0
191,9979,137,9983,8,9981.0,9992.0
192,9982,169,9984,11,9983.0,9996.0
193,9987,73,9989,49,9988.0,9998.0
194,9986,79,9990,114,9988.0,9993.0
195,9988,144,9992,31,9990.0,9993.0
196,9989,57,9995,29,9992.0,9990.0
197,9995,123,9997,8,9996.0,9990.0
198,9997,8,9999,67,9998.0,9995.0
199,9991,118,9995,48,9993.0,9997.0
200,9992,13,9994,137,9993.0,10002.0
201,9989,36,9991,115,9990.0,10003.0
202,9988,140,9992,41,9990.0,10003.0
203,9994,137,9996,8,9995.0,10003.0
204,9996,131,9998,55,9997.0,10004.0
205,9999,129,10005,16,10002.0,10003.0
206,10002,96,10004,62,10003.0,10002.0
207,10002,113,10004,17,10003.0,10001.0
208,10002,64,10004,50,10003.0,9999.0
209,10003,67,10005,28,10004.0,9996.0
210,10002,30,10004,97,10003.0,9991.0
211,10001,8,10003,151,10002.0,9989.0
212,10000,8,10002,99,10001.0,9986.0
213,9998,40,10000,75,9999.0,9986.0
214,9995,8,9997,107,9996.0,9985.0
215,9990,8,9992,93,9991.0,9982.0
216,9988,12,9990,150,9989.0,9978.0
217,9985,16,9987,90,9986.0,9976.0
218,9985,10,9987,128,9986.0,9977.0
219,9984,10,9986,150,9985.0,9977.0
220,9981,20,9983,95,9982.0,9975.0
221,9977,19,9979,162,9978.0,9973.0
222,9974,41,9978,154,9976.0,9969.0
223,9976,8,9978,95,9977.0,9965.0
224,9976,15,9978,106,9977.0,9963.0
225,9974,26,9976,129,9975.0,9962.0
226,9971,14,9975,173,9973.0,9961.0
227,9968,24,9970,151,9969.0,9962.0
228,9964,28,9966,92,9965.0,9966.0
229,9960,14,9966,76,9963.0,9970.0
230,9960,22,9964,90,9962.0,9971.0
231,9960,82,9962,35,9961.0,9971.0
232,9961,53,9963,91,9962.0,9972.0
233,9965,92,9967,83,9966.0,9968.0
234,9968,52,9972,56,9970.0,9966.0
235,9970,80,9972,37,9971.0,9965.0
236,9968,65,9974,102,9971.0,9966.0
237,9971,12,9973,75,9972.0,9964.0
238,9966,24,9970,156,9968.0,9965.0
239,9964,8,9968,133,9966.0,9968.0
240,9963,87,9967,42,9965.0,9970.0
241,9964,39,9968,166,9966.0,9974.0
242,9963,43,9965,45,9964.0,9974.0
243,9964,90,9966,8,9965.0,9978.0
244,9967,124,9969,17,9968.0,9982.0
245,9969,110,9971,39,9970.0,9986.0
246,9972,56,9976,32,9974.0,9986.0
247,9973,80,9975,8,9974.0,9988.0
248,9976,195,9980,8,9978.0,9990.0
249,9981,93,9983,20,9982.0,9997.0
250,9984,96,9988,8,9986.0,10000.0
251,9985,169,9987,20,9986.0,10003.0
252,9987,108,9989,8,9988.0,10005.0
253,9987,129,9993,14,9990.0,10004.0
254,9995,86,9999,8,9997.0,10002.0
255,9999,100,10001,17,10000.0,10000.0
256,10002,129,10004,60,10003.0,10003.0
257,10003,116,10007,30,10005.0,10006.0
258,10003,42,10005,56,10004.0,10007.0
259,10001,20,10003,89,10002.0,10008.0
260,9999,161,10001,8,10000.0,10015.0
261,10002,117,10004,8,10003.0,10018.0
262,10005,145,10007,13,10006.0,10018.0
263,10005,103,10009,8,10007.0,10022.0
264,10007,85,10009,29,10008.0,10022.0
265,10013,130,10017,21,10015.0,10023.0
266,10017,67,10019,20,10018.0,10021.0
267,10017,166,10019,8,10018.0,10025.0
268,10021,100,10023,25,10022.0,10023.0
269,10021,104,10023,47,10022.0,10027.0
270,10021,76,10025,84,10023.0,10029.0
271,10018,165,10024,8,10021.0,10029.0
272,10024,203,10026,8,10025.0,10028.0
273,10020,73,10026,8,10023.0,10030.0
274,10026,136,10028,8,10027.0,10034.0
275,10028,71,10030,43,10029.0,10033.0
276,10028,30,10030,58,10029.0,10035.0
277,10027,32,10029,60,10028.0,10035.0
278,10029,177,10031,20,10030.0,10036.0
279,10033,159,10035,38,10034.0,10035.0
280,10032,137,10034,8,10033.0,10034.0
281,10034,161,10036,15,10035.0,10035.0
282,10034,92,10036,8,10035.0,10033.0
283,10035,157,10037,10,10036.0,10029.0
284,10034,126,10036,50,10035.0,10028.0
285,10033,206,10035,8,10034.0,10031.0
286,10033,87,10037,101,10035.0,10031.0
287,10032,38,10034,103,10033.0,10028.0
288,10028,37,10030,52,10029.0,10025.0
289,10026,150,10030,8,10028.0,10024.0
290,10030,117,10032,34,10031.0,10024.0
291,10029,38,10033,96,10031.0,10021.0
292,10027,29,10029,174,10028.0,10017.0
293,10022,44,10028,42,10025.0,10015.0
294,10023,87,10025,79,10024.0,10015.0
295,10022,128,10026,60,10024.0,10014.0
296,10019,65,10023,71,10021.0,10011.0
297,10015,100,10019,53,10017.0,10008.0
298,10014,90,10016,119,10015.0,10006.0
299,10014,58,10016,37,10015.0,10005.0
300,10013,22,10015,91,10014.0,10002.0
301,10009,9,10013,169,10011.0,10003.0
302,10007,80,10009,81,10008.0,10003.0
303,10005,108,10007,62,10006.0,10002.0
304,10003,43,10007,40,10005.0,10001.0
305,10001,124,10003,60,10002.0,10005.0
306,10002,96,10004,73,10003.0,10009.0
307,10002,79,10004,51,10003.0,10016.0
308,10001,89,10003,69,10002.0,10018.0
309,10000,108,10002,26,10001.0,10023.0
310,10003,114,10007,68,10005.0,10027.0
311,10008,98,10010,8,10009.0,10029.0
312,10015,74,10017,15,10016.0,10031.0
313,10017,99,10019,36,10018.0,10035.0
314,10022,84,10024,29,10023.0,10041.0
315,10026,122,10028,8,10027.0,10045.0
316,10028,78,10030,8,10029.0,10045.0
317,10030,95,10032,8,10031.0,10047.0
318,10034,81,10036,13,10035.0,10048.0
319,10038,187,10044,8,10041.0,10049.0
320,10044,117,10046,17,10045.0,10051.0
321,10044,126,10046,19,10045.0,10052.0
322,10046,169,10048,11,10047.0,10054.0
323,10047,166,10049,8,10048.0,10052.0
324,10048,144,10050,8,10049.0,10055.0
325,10049,109,10053,8,10051.0,10054.0
326,10049,131,10055,8,10052.0,10056.0
327,10051,168,10057,21,10054.0,10055.0
328,10051,146,10053,27,10052.0,10053.0
329,10054,135,10056,13,10055.0,10054.0
330,10053,71,10055,14,10054.0,10057.0
331,10055,143,10057,32,10056.0,10061.0
332,10054,129,10056,31,10055.0,10064.0
333,10052,98,10054,18,10053.0,10065.0
334,10053,153,10055,33,10054.0,10062.0
335,10055,149,10059,15,10057.0,10058.0
336,10059,75,10063,11,10061.0,10052.0
337,10063,96,10065,25,10064.0,10054.0
338,10063,105,10067,63,10065.0,10051.0
339,10061,24,10063,77,10062.0,10048.0
340,10057,60,10059,105,10058.0,10044.0
341,10051,62,10053,32,10052.0,10042.0
342,10053,105,10055,90,10054.0,10044.0
343,10049,16,10053,121,10051.0,10045.0
344,10047,51,10049,88,10048.0,10046.0
345,10043,78,10045,33,10044.0,10047.0
346,10041,131,10043,68,10042.0,10048.0
347,10043,89,10045,11,10044.0,10048.0
348,10044,131,10046,62,10045.0,10048.0
349,10045,109,10047,41,10046.0,10049.0
350,10046,158,10048,36,10047.0,10053.0
351,10046,98,10050,8,10048.0,10051.0
352,10047,176,10049,16,10048.0,10051.0
353,10046,129,10050,14,10048.0,10050.0
354,10048,111,10050,10,10049.0,10050.0
355,10052,119,10054,40,10053.0,10049.0
356,10049,125,10053,59,10051.0,10049.0
357,10050,185,10052,10,10051.0,10050.0
358,10049,103,10051,48,10050.0,10047.0
359,10049,64,10051,30,10050.0,10044.0
360,10048,199,10050,13,10049.0,10044.0
361,10048,105,10050,23,10049.0,10041.0
362,10049,81,10051,85,10050.0,10041.0
363,10046,30,10048,104,10047.0,10040.0
364,10043,63,10045,98,10044.0,10037.0
365,10042,43,10046,116,10044.0,10030.0
366,10040,66,10042,41,10041.0,10030.0
367,10039,55,10043,94,10041.0,10027.0
368,10039,29,10041,112,10040.0,10025.0
369,10036,8,10038,99,10037.0,10023.0
370,10029,53,10031,144,10030.0,10023.0
371,10029,8,10031,89,10030.0,10023.0
372,10025,33,10029,165,10027.0,10020.0
373,10024,35,10026,96,10025.0,10020.0
374,10021,36,10025,90,10023.0,10020.0
375,10022,64,10024,19,10023.0,10019.0
376,10022,85,10024,122,10023.0,10022.0
377,10019,97,10021,45,10020.0,10026.0
378,10019,55,10021,47,10020.0,10028.0
379,10019,157,10021,24,10020.0,10026.0
380,10018,138,10020,10,10019.0,10025.0
381,10021,79,10023,17,10022.0,10027.0
382,10025,52,10027,62,10026.0,10027.0
383,10027,62,10029,103,10028.0,10027.0
384,10024,126,10028,79,10026.0,10032.0
385,10024,95,10026,31,10025.0,10029.0
386,10024,144,10030,8,10027.0,10028.0
387,10026,74,10028,25,10027.0,10024.0
388,10025,99,10029,10,10027.0,10022.0
389,10031,52,10033,115,10032.0,10021.0
390,10028,53,10030,138,10029.0,10016.0
391,10027,8,10029,135,10028.0,10016.0
392,10023,35,10025,151,10024.0,10014.0
393,10020,73,10024,97,10022.0,10011.0
394,10019,38,10023,132,10021.0,10010.0
395,10015,80,10017,43,10016.0,10011.0
396,10015,58,10017,33,10016.0,10010.0
397,10013,14,10015,88,10014.0,10010.0
398,10010,41,10012,125,10011.0,10010.0
399,10009,64,10011,93,10010.0,10012.0
400,10009,43,10013,134,10011.0,10011.0
401,10009,52,10011,130,10010.0,10007.0
402,10008,104,10012,59,10010.0,10002.0
403,10009,79,10011,20,10010.0,10001.0
404,10011,18,10013,94,10012.0,9996.0
405,10009,16,10013,139,10011.0,9993.0
406,10006,10,10008,141,10007.0,9989.0
407,10000,17,10004,107,10002.0,9987.0
408,10000,8,10002,210,10001.0,9984.0
409,9994,22,9998,94,9996.0,9983.0
410,9991,15,9995,115,9993.0,9983.0
411,9988,8,9990,83,9989.0,9982.0
412,9984,8,9990,175,9987.0,9981.0
413,9983,16,9985,175,9984.0,9982.0
414,9982,22,9984,193,9983.0,9979.0
415,9982,16,9984,139,9983.0,9977.0
416,9980,8,9984,189,9982.0,9979.0
417,9978,49,9984,148,9981.0,9977.0
418,9981,17,9983,102,9982.0,9980.0
419,9978,35,9980,162,9979.0,9981.0
420,9976,96,9978,69,9977.0,9982.0
421,9977,48,9981,83,9979.0,9984.0
422,9976,83,9978,11,9977.0,9984.0
423,9977,116,9983,8,9980.0,9986.0
424,9978,21,9984,81,9981.0,9987.0
425,9981,18,9983,127,9982.0,9988.0
426,9983,106,9985,71,9984.0,9989.0
427,9983,84,9985,60,9984.0,9992.0
428,9984,144,9988,27,9986.0,9992.0
429,9986,39,9988,148,9987.0,9996.0
430,9987,80,9989,8,9988.0,9997.0
431,9988,65,9990,8,9989.0,9999.0
432,9990,149,9994,36,9992.0,9999.0
433,9991,128,9993,44,9992.0,9998.0
434,9994,131,9998,12,9996.0,10000.0
435,9995,158,9999,8,9997.0,9999.0
436,9997,180,10001,30,9999.0,9997.0
437,9998,45,10000,146,9999.0,10000.0
438,9997,84,9999,74,9998.0,10001.0
439,9999,44,10001,80,10000.0,10002.0
440,9997,41,10001,94,9999.0,10005.0
441,9995,87,9999,35,9997.0,10008.0
442,9998,129,10002,68,10000.0,10011.0
443,10000,134,10002,49,10001.0,10012.0
444,10001,172,10003,15,10002.0,10013.0
445,10003,177,10007,8,10005.0,10012.0
446,10006,169,10010,10,10008.0,10013.0
447,10008,162,10014,34,10011.0,10010.0
448,10010,162,10014,19,10012.0,10009.0
449,10011,70,10015,75,10013.0,10009.0
450,10011,64,10013,35,10012.0,10007.0
451,10012,28,10014,101,10013.0,10010.0
452,10008,32,10012,83,10010.0,10008.0
453,10008,74,10010,73,10009.0,10009.0
454,10008,44,10010,137,10009.0,10010.0
455,10006,120,10008,24,10007.0,10009.0
456,10008,37,10012,165,10010.0,10009.0
457,10005,89,10011,73,10008.0,10014.0
458,10007,83,10011,48,10009.0,10017.0
459,10009,9,10011,185,10010.0,10022.0
460,10008,36,10010,77,10009.0,10019.0
461,10007,135,10011,74,10009.0,10020.0
462,10013,94,10015,37,10014.0,10020.0
463,10015,148,10019,40,10017.0,10020.0
464,10021,51,10023,42,10022.0,10021.0
465,10018,81,10020,36,10019.0,10017.0
466,10019,132,10021,8,10020.0,10015.0
467,10019,83,10021,117,10020.0,10011.0
468,10017,79,10023,100,10020.0,10007.0
469,10020,56,10022,161,10021.0,10005.0
470,10015,38,10019,70,10017.0,10001.0
471,10012,8,10018,102,10015.0,10000.0
472,10010,8,10012,163,10011.0,9999.0
473,10005,35,10009,167,10007.0,9999.0
474,10004,10,10006,80,10005.0,9999.0
475,10000,8,10002,107,10001.0,9997.0
476,9999,58,10001,148,10000.0,9996.0
477,9998,81,10000,78,9999.0,9995.0
478,9996,25,10002,112,9999.0,9993.0
479,9998,8,10000,110,9999.0,9994.0
480,9995,8,9999,132,9997.0,9994.0
481,9995,8,9997,109,9996.0,9999.0
482,9994,8,9996,85,9995.0,10001.0
483,9992,26,9994,125,9993.0,9999.0
484,9992,58,9996,126,9994.0,9996.0
485,9993,100,9995,19,9994.0,9992.0
486,9998,53,10000,20,9999.0,9987.0
487,10000,12,10002,119,10001.0,9987.0
488,9998,18,10000,146,9999.0,9983.0
489,9994,17,9998,148,9996.0,9982.0
490,9990,8,9994,189,9992.0,9984.0
491,9985,9,9989,110,9987.0,9984.0
492,9986,25,9988,122,9987.0,9986.0
493,9982,68,9984,109,9983.0,9989.0
494,9981,86,9983,92,9982.0,9991.0
495,9983,32,9985,133,9984.0,9993.0
496,9983,176,9985,14,9984.0,9997.0
497,9985,66,9987,21,9986.0,10000.0
498,9988,91,9990,56,9989.0,10000.0
499,9989,107,9993,68,9991.0,9997.0
500,9992,103,9994,55,9993.0,9997.0
501,9994,73,10000,13,9997.0,9998.0
502,9997,76,10003,59,10000.0,9996.0
503,9999,14,10001,129,10000.0,9993.0
504,9996,23,9998,158,9997.0,9991.0
505,9996,46,9998,149,9997.0,9992.0
506,9996,8,10000,171,9998.0,9993.0
507,9995,19,9997,110,9996.0,9991.0
508,9991,116,9995,96,9993.0,9990.0
509,9990,17,9992,54,9991.0,9987.0
510,9991,44,9993,134,9992.0,9985.0
511,9992,38,9994,56,9993.0,9989.0
512,9990,8,9992,120,9991.0,9990.0
513,9989,45,9991,131,9990.0,9992.0
514,9986,50,9988,109,9987.0,9991.0
515,9984,62,9986,50,9985.0,9987.0
516,9988,112,9990,49,9989.0,9984.0
517,9989,59,9991,112,9990.0,9983.0
518,9991,74,9993,72,9992.0,9982.0
519,9990,20,9992,131,9991.0,9981.0
520,9986,8,9988,98,9987.0,9982.0
521,9983,28,9985,133,9984.0,9980.0
522,9982,8,9984,107,9983.0,9978.0
523,9981,49,9983,136,9982.0,9977.0
524,9979,67,9983,65,9981.0,9978.0
525,9980,35,9984,93,9982.0,9978.0
526,9978,8,9982,167,9980.0,9977.0
527,9977,18,9979,191,9978.0,9981.0
528,9976,50,9978,57,9977.0,9984.0
529,9975,56,9981,52,9978.0,9987.0
530,9977,19,9979,72,9978.0,9990.0
531,9976,88,9978,52,9977.0,9992.0
532,9979,61,9983,30,9981.0,9995.0
533,9983,98,9985,8,9984.0,9995.0
534,9986,80,9988,8,9987.0,9998.0
535,9989,149,9991,59,9990.0,9999.0
536,9991,101,9993,10,9992.0,10003.0
537,9993,69,9997,62,9995.0,10002.0
538,9993,65,9997,15,9995.0,10002.0
539,9997,144,9999,8,9998.0,10004.0
540,9998,88,10000,19,9999.0,10007.0
541,10001,40,10005,71,10003.0,10008.0
542,10000,66,10004,93,10002.0,10009.0
543,10000,57,10004,71,10002.0,10012.0
544,10003,149,10005,32,10004.0,10017.0
545,10004,102,10010,86,10007.0,10019.0
546,10007,134,10009,8,10008.0,10023.0
547,10008,124,10010,12,10009.0,10025.0
548,10011,108,10013,8,10012.0,10029.0
549,10016,85,10018,10,10017.0,10031.0
550,10018,135,10020,59,10019.0,10035.0
551,10021,136,10025,10,10023.0,10036.0
552,10024,87,10026,15,10025.0,10040.0
553,10028,100,10030,36,10029.0,10040.0
554,10029,57,10033,34,10031.0,10040.0
555,10034,108,10036,9,10035.0,10041.0
556,10035,74,10037,8,10036.0,10041.0
557,10039,71,10041,26,10040.0,10041.0
558,10038,122,10042,13,10040.0,10040.0
559,10039,141,10041,56,10040.0,10039.0
560,10039,38,10043,52,10041.0,10041.0
561,10040,79,10042,30,10041.0,10041.0
562,10040,75,10042,22,10041.0,10041.0
563,10038,79,10042,62,10040.0,10041.0
564,10037,71,10041,13,10039.0,10042.0
565,10040,114,10042,30,10041.0,10040.0
566,10038,89,10044,18,10041.0,10036.0
567,10040,55,10042,107,10041.0,10032.0
568,10039,135,10043,33,10041.0,10029.0
569,10041,20,10043,97,10042.0,10031.0
570,10039,38,10041,72,10040.0,10032.0
571,10034,25,10038,74,10036.0,10033.0
572,10031,88,10033,84,10032.0,10036.0
573,10028,118,10030,62,10029.0,10036.0
574,10029,87,10033,53,10031.0,10033.0
575,10031,90,10033,11,10032.0,10029.0
576,10032,78,10034,21,10033.0,10029.0
577,10035,12,10037,131,10036.0,10030.0
578,10035,21,10037,78,10036.0,10029.0
579,10032,55,10034,81,10033.0,10031.0
580,10028,75,10030,34,10029.0,10033.0
581,10028,57,10030,31,10029.0,10039.0
582,10028,53,10032,44,10030.0,10041.0
583,10028,135,10030,8,10029.0,10044.0
584,10029,92,10033,36,10031.0,10042.0
585,10032,172,10034,8,10033.0,10044.0
586,10038,168,10040,8,10039.0,10046.0
587,10039,82,10043,15,10041.0,10048.0
588,10043,85,10045,12,10044.0,10050.0
589,10041,122,10043,10,10042.0,10052.0
590,10043,176,10045,9,10044.0,10054.0
591,10043,95,10049,8,10046.0,10050.0
592,10047,170,10049,23,10048.0,10050.0
593,10049,125,10051,20,10050.0,10048.0
594,10051,182,10053,17,10052.0,10047.0
595,10052,123,10056,61,10054.0,10047.0
596,10049,87,10051,38,10050.0,10047.0
597,10049,58,10051,60,10050.0,10045.0
598,10045,53,10051,32,10048.0,10045.0
599,10045,121,10049,82,10047.0,10046.0
600,10045,106,10049,106,10047.0,10044.0
601,10045,66,10049,110,10047.0,10045.0
602,10044,165,10046,32,10045.0,10043.0
603,10044,104,10046,14,10045.0,10039.0
604,10045,136,10047,59,10046.0,10041.0
605,10043,102,10045,55,10044.0,10040.0
606,10043,35,10047,48,10045.0,10040.0
607,10042,85,10044,74,10043.0,10039.0
608,10038,116,10040,49,10039.0,10038.0
609,10038,95,10044,46,10041.0,10034.0
610,10039,70,10041,19,10040.0,10030.0
611,10037,40,10043,81,10040.0,10029.0
612,10038,64,10040,67,10039.0,10026.0
613,10037,33,10039,173,10038.0,10028.0
614,10033,18,10035,70,10034.0,10028.0
615,10029,8,10031,157,10030.0,10028.0
616,10028,8,10030,115,10029.0,10028.0
617,10025,80,10027,42,10026.0,10029.0
618,10027,118,10029,68,10028.0,10027.0
619,10026,47,10030,113,10028.0,10029.0
620,10026,83,10030,46,10028.0,10027.0
621,10027,102,10029,31,10028.0,10026.0
622,10027,91,10031,107,10029.0,10023.0
623,10026,82,10028,73,10027.0,10022.0
624,10028,28,10030,54,10029.0,10019.0
625,10026,65,10028,142,10027.0,10018.0
626,10025,8,10027,123,10026.0,10015.0
627,10022,57,10024,140,10023.0,10012.0
628,10021,8,10023,80,10022.0,10011.0
629,10018,32,10020,96,10019.0,10008.0
630,10016,43,10020,95,10018.0,10007.0
631,10014,11,10016,155,10015.0,10005.0
